text,label
Janice is the first Cady. She was burned by Regina’s antics and fought fire with fire.,Hot_Take
"Janis not the ""villain"" but she's also a mean girl in her own way. A less successful mean girl. She manipulated a new student to do her bidding, got this friend to cause Regina physical harm (weight gain, which she now might struggle with forever) and all that. She also told Cady not to join Mathletes as ""social suicide"" showing that she plays by the same social rules as Regina.",Condemnation
i feel like cady was both the protagonist and antagonist,Hot_Take
"Agreed - she totally used Cady and took advantage of her naivety as revenge on Regina. That being said, I liked how she was one of the first people to make Cady feel welcome at school - initiating conversations, drawing Cady a map and including Cady in one of her paintings (which ended up being Cady’s consolation prize).",Mixed
I will always like Janis. She was the only one brave enough to stand up to Regina.,Defense
I mean Janis is one of the villains/mean girls. They all are in some type of way. Using Cady in the begging for her revenge was weird and trying to sabotage Regina make her a mean girl herself.,Condemnation
Gretchen is the real villain.,Hot_Take
"I would say all Janis’s actions are a response to someone else’s actions, whether past or present. She never actively bullied anyone during the film “just because”, like how Regina did. Even when she publicly humiliated Regina, it was because Regina insulted her right beforehand (saying that her dream is to fall on a pile of girls) - she didn’t go up on stage to actively humiliate her.",Defense
"YES! Janis's an antagonist, sure. She has justified reasons to be angry. She goes about it the wrong way. The movie doesn’t hold her as accountable for her misdeeds the way it does for others and it’s a valid criticism. She’s NOT “the real villain.” She definitely has a toxic “it’s okay if I’m mean because I was hurt/abused, so anything I do is justified retribution” mindset that IS unhealthy AND ultimately disproven. Cady even says “ruining Regina George’s life didn’t make me any happier.”",Mixed
"Essentially all of the girls are the villains, that’s what the movie is about, that’s why Janis full on admits to it and says “at least Regina and I know we’re mean.” Yes Regina ruined Janis’s life, but Janis was the one who got Cady involved in her revenge plot. Cady wasn’t originally going to join the plastic group, Janis encouraged her to. Yes she asked Cady to go to her art exhibit, because she had more to her life than just ruining Regina’s life, she had her own hobbies and did see Cady as her friend, but that doesn’t mean she was done or no longer cared about the plot, she was just prioritizing a night for an event and hobby she loved. In the trust fall she literally doubled down on the plot and rubbed it in Regina’s face, although Regina deserved it. Granted Janis was also the first to realize she fucked up and I think was originally going to apologize to Cady during the trust fall scene when Cady walked away from the front and Janis watched her and ran up and got on the table, but then Regina opened her mouth. But she still addressed Cady as her friend in that, showing she is taking some of the accountability of what happened between them.",Mixed
Regina's evil but fabulous.,Hot_Take
